id,name,application_due_at,started_at,information,application_link,tags,address,host_id,created_at,updated_at,latitude,longitude,photo
2,Summer Camp Music Festival,2026-04-15,2026-05-21,Summer Camp will highlight many food and craft vendors both locally and nationally. Are you interested in selling your product to thousands of festival goers? ,https://summercampfestival.com/get-involved/,"music, camping, festival, art","Chillicothe, IL",1,,,40.89355431,-89.50351469,
3,Shoe Fest,2026-11-20,2026-08-29,"Shoe Fest is a 3 day music and camping festival held at Camp Shaw-Waw-Nas-See in Manteno, IL. Shoe Fest began in 2011 and continues to grow each year.",vendors@shoe-fest.com,"music, family, festivals, camping","Manteno, IL",1,,,41.21507547,-87.99054263,
4,Big Dub Festival,2026-04-15,2026-07-21,"We are excited for another year of Big Dub, hosted at Four Quarters, situated in a quaint paradise along the Appalachian Mountain range! ",https://docs.google.com/forms/d/e/1FAIpQLSfOherzPkEmVmFwWQ_yBQHQnD6mw2akjGR6SRT6biVlRYx1PQ/viewform,"music, festival, camping, art","Artemas, PA",1,,,39.74828384,-78.43967594,
5,EDC Las Vegas,2026-01-15,2026-05-15,"3 day festival in vegas featuring stunning art, music, and visuals where you can dance with your friends to some of the biggest names in electronic music.",INSOMNIAC@THEPINEAPPLEAGENCY.COM,"music, festival, rave",Las Vegas Motor Speedway,1,,,36.27241832,-11.50108446,
6,Grid Life Festival Midwest,2026-03-15,2026-06-12,"Become a GRIDLIFE Vendor! Whether you sell used parts, custom stickers, sick shift knobs, or really anything else, thereâs a place for you at GRIDLIFE events.",https://www.grid.life/midwest-festival,"cars, family, camping, music","South Haven, MI",1,,,42.40651679,-86.14170784,
7,Lost Lands,2026-03-15,2026-09-18,"Presented by top electronic bass artist Excision, Lost Lands brings the 'the top bass music from the past 65 million years' to Legend Valley, Ohio. With 1,000,000+ watts of bass, attendees are sure to feel the beat of a variety of electronic acts spanning decades.",https://www.lostlandsfestival.com/connect/,"dinosaurs, rave, festival, camping","Thornville, OH",1,,,39.93901198,-82.40804873,
8,Underground Art Market,2026-11-15,2026-12-07,"Pop- Up Market featuring recycled art, wellness products, vintage and more.",https://www.undergroundartmarket.com/,"art, craft, market","Avondale, IL",1,,,41.90468932,-87.6097515,
10,Christkindl Market,2026-11-30,2026-12-15,Thank you for your interest in participating as a vendor at the Christkindlmarket,https://www.christkindlmarket.com/become-a-vendor/#Vendor-Application,"christmas, craft, market","Chicago, IL",1,,,41.90213407,-87.60975154,
11,Taste of Chicago,2026-11-22,2026-07-15,"Taste of Chicago Grant Park: Friday-Sunday, September 6-8, 2024",https://www.chicago.gov/city/en/depts/dca/supp_info/dcase_opportunities.html.html,"food, market, community","Chicago, IL",1,,,41.90213407,-87.61112483,
12,Movement Detroit,2026-01-20,2026-05-23,"Hart Plaza has become, almost unintentionally, a tribute to the strength of people - memorials in the plaza include âGateway to Freedomâ, recognizing Detroitâs role in helping emancipated slaves into Canada, and âTranscendingâ, a giant arch celebrating American Labor. What this is all means for Movement is a palpable energy in the air.",https://movementfestival.com/pages/contact,"music, festival, art, camping, food","Hart Plaza, Detroit, MI",1,,,42.42373174,-83.0534478,
13,Sonic Bloom Colorado,2026-01-01,2026-06-01,"Festival at Hummingbird Ranch, Colorado",https://sonicbloomfestival.com/contact/,"music, festival, meditation, camping","Hummingbird Ranch, 732 Co Rd 653, Rye, CO 81069",1,,,,-88.91217427,
14,Sound Haven,2026-03-01,2026-07-30,Experience a legendary weekend of bass music on multiple high-end sound systems,https://soundhavenfestival.com/apply,"music, festival, art, camping, food","Jaceland, TN",1,,,,-88.20160812,
15,Ulta Music Festival,2026-03-01,2026-03-27,Music festival in Florida,https://help.ultramusicfestival.com/portal/en/newticket?departmentId=487661000000132660&layoutId=487661000000137935,"music, festival, camping, art","Bayfront Park, Miami, FL",1,,,43.10009418,-75.2335966,
16,Dancefestopia,2026-02-01,2026-09-04,Music festival in Kansas,https://www.dancefestopia.com/contact,"music, festival, art, camping, food","Wildwood Outdoor Education Center
7095 W 399th Street, Lacygne, KS 66040",1,,,41.50904812,-90.56203669,
17,Infrasound,2026-01-01,2026-05-14,Apply to join the community today!,https://www.infrasoundfestival.com/participate,"music, festival, camping, art","Harmony Park Music Garden, Clarks Grove, MN",1,,,42.31108608,-88.02052075,
